"user", "device", "challenge", "response"
lyle, nexus-79, 1, "391.2143, 739.4286, 0.388800, 0.419355, 0.000000, 542.528166452386, 799.5944748156011, 0.799260, 3.863048, 2657.329132, 636.4764741449022, 748.5590935454139, 0.737611, 5.828593, 10639.349355, 623.7848840306297, 541.7791690304807, 0.691390, 13.580326, 13459.758591, 699.0711406120397, 346.03570643138187, 0.694891, 16.643920, 6343.164546"
lyle, nexus-79, 1, "343.89285, 721.4286, 0.316800, 0.419355, 0.000000, 516.0057315209642, 785.7324358093289, 0.790290, 14.482063, 1502.002020, 652.0268563794754, 770.0544760381906, 0.783938, 1.744093, 8040.770760, 622.4229677441472, 566.5132167691575, 0.687929, 7.754145, 11050.812435, 656.5292174044946, 358.72411414818464, 0.682177, 2.883647, 7158.668163"
lyle, nexus-79, 1, "382.2857, 709.4286, 0.268800, 0.419355, 0.000000, 536.7179929340156, 773.7707079063318, 0.801603, 25.471064, 2197.088821, 649.0605717142955, 733.2566621762987, 0.750127, 20.642251, 8033.848521, 633.0547261973737, 526.3626111042739, 0.687258, 25.336399, 10219.980667, 654.5478147590333, 320.7992544384015, -1.400106, 31.667410, 8337.400000"
lyle, nexus-79, 1, "324.25, 706.0, 0.240000, 0.419355, 0.000000, 517.0907409186786, 788.6865919474538, 0.836502, 11.920732, 2287.422025, 683.6288451822143, 820.6029676272376, 0.782518, 3.353871, 9729.881540, 613.7472683530166, 622.6691687731146, 0.743032, 8.465330, 6843.540077, 597.7386909882432, 415.8697531753275, 0.672300, 31.887820, 9180.556659"
lyle, nexus-79, 1, "322.4643, 707.7143, 0.292800, 0.419355, 0.000000, 520.0357579058901, 765.5595035709213, 0.700268, 21.631022, 1656.123692, 662.6655517159154, 760.9649817526603, 0.619897, 0.476636, 9240.877662, 620.2977917401621, 555.1678901904988, 0.574926, 4.765377, 6086.510171, 654.1629357955395, 349.89876969428667, 0.543751, 14.978840, 6088.607967"
lyle, nexus-79, 1, "308.17856, 713.7143, 0.297600, 0.419355, 0.000000, 501.1102672426055, 798.1430971277751, 0.782905, 1.117021, 934.059094, 650.9817601289919, 810.6070799410661, 0.723326, 18.504600, 7159.145120, 598.647834273452, 606.5618653705296, 0.812756, 2.287743, 8120.675220, 665.9869645634457, 410.5492637012972, 0.683709, 17.694247, 10395.097296"
lyle, nexus-79, 1, "372.4643, 714.5714, 0.249600, 0.419355, 0.000000, 542.5364484148895, 793.4023075257218, 0.805035, 22.605739, 2228.184743, 626.8396030747917, 686.3013055876589, 0.645431, 24.485489, 7843.705894, 623.7554073966992, 475.6364706220651, 0.666179, 15.417981, 4293.278326, 646.5849883958076, 271.2483112768357, -0.465165, 42.783065, 5778.400000"
lyle, nexus-79, 1, "302.8214, 717.1429, 0.384000, 0.419355, 0.000000, 505.5542991800882, 755.4342516407423, 0.805104, 32.942108, 792.185076, 697.9244609487557, 839.3877650361114, 0.757483, 1.407456, 2657.276793, 633.2674911924734, 654.8402801043857, 0.799586, 12.417234, 11256.060919, 643.9291421441751, 444.82483022427624, 0.787200, 15.940163, 7487.482881"
lyle, nexus-79, 1, "361.75, 726.5714, 0.297600, 0.419355, 0.000000, 557.1013898410861, 803.5783344669693, 0.657662, 11.495255, 1028.033835, 639.6739763432311, 737.9265789443713, 0.682990, 9.815276, 4926.303902, 623.1337065224545, 530.4955416465796, 0.689365, 7.393497, 5295.717630, 651.1034185596565, 322.46693688295375, 0.583581, 15.263355, 6435.608246"
lyle, nexus-79, 1, "344.7857, 707.7143, 0.273600, 0.419355, 0.000000, 543.494035573146, 761.0555915796913, 0.718663, 24.539583, 1682.034420, 634.4595603267966, 696.8083146646418, 0.683826, 25.161234, 9889.781082, 613.3324028993229, 488.03215908703976, 0.697166, 10.482165, 6185.471760, 653.8761466711117, 285.97265574844647, -0.385684, 33.290084, 7066.800000"
