W,K,T,02-25-14_IanRichardson_015d4a82904c0c07.csvagainst_02-25-14_IanRichardson_015d4a82904c0c07.csv.csv,,,02-25-14_IanRichardson_015d4a82904c0c07.csvagainst_2-2-15_timdee_07924e50.csv.csv,,,02-25-14_IanRichardson_015d4a82904c0c07.csvagainst_2-2-26_timdee_07924e50.csv.csv,,,02-25-14_IanRichardson_015d4a82904c0c07.csvagainst_3-30-15_timdee_07924e50.csv.csv,,,02-25-14_IanRichardson_015d4a82904c0c07.csvagainst_4-2-15_IanRichardson_015d4a82904c0c07.csv.csv,,,2-2-15_timdee_07924e50.csvagainst_02-25-14_IanRichardson_015d4a82904c0c07.csv.csv,,,2-2-15_timdee_07924e50.csvagainst_2-2-15_timdee_07924e50.csv.csv,,,2-2-15_timdee_07924e50.csvagainst_2-2-26_timdee_07924e50.csv.csv,,,2-2-15_timdee_07924e50.csvagainst_3-30-15_timdee_07924e50.csv.csv,,,2-2-15_timdee_07924e50.csvagainst_4-2-15_IanRichardson_015d4a82904c0c07.csv.csv,,,2-2-26_timdee_07924e50.csvagainst_02-25-14_IanRichardson_015d4a82904c0c07.csv.csv,,,2-2-26_timdee_07924e50.csvagainst_2-2-15_timdee_07924e50.csv.csv,,,2-2-26_timdee_07924e50.csvagainst_2-2-26_timdee_07924e50.csv.csv,,,2-2-26_timdee_07924e50.csvagainst_3-30-15_timdee_07924e50.csv.csv,,,2-2-26_timdee_07924e50.csvagainst_4-2-15_IanRichardson_015d4a82904c0c07.csv.csv,,,3-30-15_timdee_07924e50.csvagainst_02-25-14_IanRichardson_015d4a82904c0c07.csv.csv,,,3-30-15_timdee_07924e50.csvagainst_2-2-15_timdee_07924e50.csv.csv,,,3-30-15_timdee_07924e50.csvagainst_2-2-26_timdee_07924e50.csv.csv,,,3-30-15_timdee_07924e50.csvagainst_3-30-15_timdee_07924e50.csv.csv,,,3-30-15_timdee_07924e50.csvagainst_4-2-15_IanRichardson_015d4a82904c0c07.csv.csv,,,4-2-15_IanRichardson_015d4a82904c0c07.csvagainst_02-25-14_IanRichardson_015d4a82904c0c07.csv.csv,,,4-2-15_IanRichardson_015d4a82904c0c07.csvagainst_2-2-15_timdee_07924e50.csv.csv,,,4-2-15_IanRichardson_015d4a82904c0c07.csvagainst_2-2-26_timdee_07924e50.csv.csv,,,4-2-15_IanRichardson_015d4a82904c0c07.csvagainst_3-30-15_timdee_07924e50.csv.csv,,,4-2-15_IanRichardson_015d4a82904c0c07.csvagainst_4-2-15_IanRichardson_015d4a82904c0c07.csv.csv,,
,,,Max,Min,Avg,Max,Min,Avg,Max,Min,Avg,Max,Min,Avg,Max,Min,Avg,Max,Min,Avg,Max,Min,Avg,Max,Min,Avg,Max,Min,Avg,Max,Min,Avg,Max,Min,Avg,Max,Min,Avg,Max,Min,Avg,Max,Min,Avg,Max,Min,Avg,Max,Min,Avg,Max,Min,Avg,Max,Min,Avg,Max,Min,Avg,Max,Min,Avg,Max,Min,Avg,Max,Min,Avg,Max,Min,Avg,Max,Min,Avg,Max,Min,Avg
3,5,1000,0,0,0,0,0,0,0,0,0,0,0,0,0.9994,-0.302,0.1791,0,0,0,0,0,0,0.9703,0.2342,0.1196,0.9997,0.2326,0.5350,0.9998,-0.549,0.6128,0,0,0,0,0,0,1.000,0.6667,0.9693,1.000,0.2742,0.4388,0.7196,0.5126,0.05802,0,0,0,0,0,0,0.7182,-1.062,0.001844,1.000,0.6643,0.8216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9390,0.6651,0.6992
3,5,1500,0,0,0,0,0,0,0,0,0,0,0,0,0.9988,-0.455,0.2037,0,0,0,0,0,0,0.6862,0.1125,0,1.000,0.309,0.3952,0.9998,-1.19,0.3479,0,0,0,0,0,0,0.9999,0.6006,0.8520,0.9978,0.11,0.2858,0.9540,0.4185,0.2895,0,0,0,0,0,0,0.9999,-0.244,0.3033,0.9999,0.6456,0.6826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9334,0.6621,0.5419
3,5,2000,0,0,0,0,0,0,0,0,0,0,0,0,0.9997,-0.982,0.1712,0,0,0,0,0,0,0.9999,0.3806,0.3585,0.9998,0.2679,0.3309,0.9998,-1.478,0.3875,0,0,0,0,0,0,1.000,0.6017,0.9146,0.9789,0.0883,0.2475,0.9984,0.5262,0.6415,0,0,0,0,0,0,1.000,-0.128,0.3360,0.9996,0.6612,0.7387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9993,0.6646,0.5795
3,6,1000,0,0,0,0,0,0,0,0,0,0,0,0,0.9999,0.3832,0.8012,0,0,0,0,0,0,0.9999,0.6086,0.9273,1.000,0.543,0.8619,0.9998,0.264,0.5667,0,0,0,0,0,0,1.000,0.7135,1,0.9719,0.6948,0.9930,0.4747,0.1912,0,0,0,0,0,0,0,0.8056,0.4822,0.2155,1.000,0.7422,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.849,0.6622,0.8330
3,6,1500,0,0,0,0,0,0,0,0,0,0,0,0,1.000,0.5468,0.8990,0,0,0,0,0,0,1.000,0.7174,1,1.000,0.4027,0.6813,0.9999,0.3663,0.7893,0,0,0,0,0,0,0.9998,0.5262,0.7440,0.9976,0.6688,0.96,0.5197,0.2932,0,0,0,0,0,0,0,1.000,0.6783,0.9735,1.000,0.7429,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8768,0.6661,0.9546
3,6,2000,0,0,0,0,0,0,0,0,0,0,0,0,1.000,0.4716,0.7656,0,0,0,0,0,0,0.9999,0.4675,0.6556,0.9999,0.5133,0.8707,0.9999,0.4953,0.8866,0,0,0,0,0,0,1.000,0.5988,0.7675,1.000,0.7228,1,0.5297,0.2941,0,0,0,0,0,0,0,1.000,0.6753,0.9783,1.000,0.7422,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9392,0.6667,0.9577
3,7,1000,0,0,0,0,0,0,0,0,0,0,0,0,1.000,0.6633,0.9484,0,0,0,0,0,0,0.9479,0.6294,0.9395,0.9999,0.5491,0.6663,0.5991,0.0247,0,0,0,0,0,0,0,1.000,0.3691,0.6546,0.8453,-0.246,0.07193,0.2849,0.0337,0,0,0,0,0,0,0,0.9999,-0.317,0.2058,1.000,0.6667,0.9356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.819,0.6662,0.7265
3,7,1500,0,0,0,0,0,0,0,0,0,0,0,0,0.9999,0.6519,0.9842,0,0,0,0,0,0,0.895,0.6263,0.9121,0.9987,0.3357,0.3676,0.4770,-0.122,0,0,0,0,0,0,0,1.000,0.4711,0.7189,0.9998,0.1358,0.4630,0.4836,0.0258,0,0,0,0,0,0,0,1.000,-0.038,0.1909,1.000,0.573,0.9174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7936,0.6662,0.8937
3,7,2000,0,0,0,0,0,0,0,0,0,0,0,0,1.000,0.489,0.8644,0,0,0,0,0,0,0.9186,0.6111,0.6794,1.000,0.2029,0.2853,0.4424,-0.147,0,0,0,0,0,0,0,1.000,0.5667,0.8727,0.9999,0.2431,0.4748,0.5194,0.1072,0,0,0,0,0,0,0,1.000,0.0408,0.2680,1.000,0.6637,0.9480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8724,0.6658,0.9580
