W,K,T,02-25-14_IanRichardson_015d4a82904c0c07.csvagainst_02-25-14_IanRichardson_015d4a82904c0c07.csv.csv,,02-25-14_IanRichardson_015d4a82904c0c07.csvagainst_2-2-15_timdee_07924e50.csv.csv,,02-25-14_IanRichardson_015d4a82904c0c07.csvagainst_2-2-26_timdee_07924e50.csv.csv,,02-25-14_IanRichardson_015d4a82904c0c07.csvagainst_3-30-15_timdee_07924e50.csv.csv,,02-25-14_IanRichardson_015d4a82904c0c07.csvagainst_4-2-15_IanRichardson_015d4a82904c0c07.csv.csv,,2-2-15_timdee_07924e50.csvagainst_02-25-14_IanRichardson_015d4a82904c0c07.csv.csv,,2-2-15_timdee_07924e50.csvagainst_2-2-15_timdee_07924e50.csv.csv,,2-2-15_timdee_07924e50.csvagainst_2-2-26_timdee_07924e50.csv.csv,,2-2-15_timdee_07924e50.csvagainst_3-30-15_timdee_07924e50.csv.csv,,2-2-15_timdee_07924e50.csvagainst_4-2-15_IanRichardson_015d4a82904c0c07.csv.csv,,2-2-26_timdee_07924e50.csvagainst_02-25-14_IanRichardson_015d4a82904c0c07.csv.csv,,2-2-26_timdee_07924e50.csvagainst_2-2-15_timdee_07924e50.csv.csv,,2-2-26_timdee_07924e50.csvagainst_2-2-26_timdee_07924e50.csv.csv,,2-2-26_timdee_07924e50.csvagainst_3-30-15_timdee_07924e50.csv.csv,,2-2-26_timdee_07924e50.csvagainst_4-2-15_IanRichardson_015d4a82904c0c07.csv.csv,,3-30-15_timdee_07924e50.csvagainst_02-25-14_IanRichardson_015d4a82904c0c07.csv.csv,,3-30-15_timdee_07924e50.csvagainst_2-2-15_timdee_07924e50.csv.csv,,3-30-15_timdee_07924e50.csvagainst_2-2-26_timdee_07924e50.csv.csv,,3-30-15_timdee_07924e50.csvagainst_3-30-15_timdee_07924e50.csv.csv,,3-30-15_timdee_07924e50.csvagainst_4-2-15_IanRichardson_015d4a82904c0c07.csv.csv,,4-2-15_IanRichardson_015d4a82904c0c07.csvagainst_02-25-14_IanRichardson_015d4a82904c0c07.csv.csv,,4-2-15_IanRichardson_015d4a82904c0c07.csvagainst_2-2-15_timdee_07924e50.csv.csv,,4-2-15_IanRichardson_015d4a82904c0c07.csvagainst_2-2-26_timdee_07924e50.csv.csv,,4-2-15_IanRichardson_015d4a82904c0c07.csvagainst_3-30-15_timdee_07924e50.csv.csv,,4-2-15_IanRichardson_015d4a82904c0c07.csvagainst_4-2-15_IanRichardson_015d4a82904c0c07.csv.csv,
,,,Max,Min,Max,Min,Max,Min,Max,Min,Max,Min,Max,Min,Max,Min,Max,Min,Max,Min,Max,Min,Max,Min,Max,Min,Max,Min,Max,Min,Max,Min,Max,Min,Max,Min,Max,Min,Max,Min,Max,Min,Max,Min,Max,Min,Max,Min,Max,Min,Max,Min
3,5,1000,0,1,0,1,0,1,0,1,0.9994,-0.302,0,1,0,1,0.9703,0.2342,0.9997,0.2326,0.9998,-0.549,0,1,0,1,1.000,0.6667,1.000,0.2742,0.7196,0.5126,0,1,0,1,0.7182,-1.062,1.000,0.6643,0,1,0,1,0,1,0,1,0,1,0.9390,0.6651
3,5,1500,0,1,0,1,0,1,0,1,0.9988,-0.455,0,1,0,1,0.6862,0.1125,1.000,0.309,0.9998,-1.19,0,1,0,1,0.9999,0.6006,0.9978,0.11,0.9540,0.4185,0,1,0,1,0.9999,-0.244,0.9999,0.6456,0,1,0,1,0,1,0,1,0,1,0.9334,0.6621
3,5,2000,0,1,0,1,0,1,0,1,0.9997,-0.982,0,1,0,1,0.9999,0.3806,0.9998,0.2679,0.9998,-1.478,0,1,0,1,1.000,0.6017,0.9789,0.0883,0.9984,0.5262,0,1,0,1,1.000,-0.128,0.9996,0.6612,0,1,0,1,0,1,0,1,0,1,0.9993,0.6646
3,6,1000,0,1,0,1,0,1,0,1,0.9999,0.3832,0,1,0,1,0.9999,0.6086,1.000,0.543,0.9998,0.264,0,1,0,1,1.000,0.7135,0.9719,0.6948,0.4747,0.1912,0,1,0,1,0.8056,0.4822,1.000,0.7422,0,1,0,1,0,1,0,1,0,1,0.849,0.6622
3,6,1500,0,1,0,1,0,1,0,1,1.000,0.5468,0,1,0,1,1.000,0.7174,1.000,0.4027,0.9999,0.3663,0,1,0,1,0.9998,0.5262,0.9976,0.6688,0.5197,0.2932,0,1,0,1,1.000,0.6783,1.000,0.7429,0,1,0,1,0,1,0,1,0,1,0.8768,0.6661
3,6,2000,0,1,0,1,0,1,0,1,1.000,0.4716,0,1,0,1,0.9999,0.4675,0.9999,0.5133,0.9999,0.4953,0,1,0,1,1.000,0.5988,1.000,0.7228,0.5297,0.2941,0,1,0,1,1.000,0.6753,1.000,0.7422,0,1,0,1,0,1,0,1,0,1,0.9392,0.6667
3,7,1000,0,1,0,1,0,1,0,1,1.000,0.6633,0,1,0,1,0.9479,0.6294,0.9999,0.5491,0.5991,0.0247,0,1,0,1,1.000,0.3691,0.8453,-0.246,0.2849,0.0337,0,1,0,1,0.9999,-0.317,1.000,0.6667,0,1,0,1,0,1,0,1,0,1,0.819,0.6662
3,7,1500,0,1,0,1,0,1,0,1,0.9999,0.6519,0,1,0,1,0.895,0.6263,0.9987,0.3357,0.4770,-0.122,0,1,0,1,1.000,0.4711,0.9998,0.1358,0.4836,0.0258,0,1,0,1,1.000,-0.038,1.000,0.573,0,1,0,1,0,1,0,1,0,1,0.7936,0.6662
3,7,2000,0,1,0,1,0,1,0,1,1.000,0.489,0,1,0,1,0.9186,0.6111,1.000,0.2029,0.4424,-0.147,0,1,0,1,1.000,0.5667,0.9999,0.2431,0.5194,0.1072,0,1,0,1,1.000,0.0408,1.000,0.6637,0,1,0,1,0,1,0,1,0,1,0.8724,0.6658
