W,K,T,02-25-14_IanRichardson_015d4a82904c0c07.csvagainst_02-25-14_IanRichardson_015d4a82904c0c07.csv.csv,,,02-25-14_IanRichardson_015d4a82904c0c07.csvagainst_2-2-15_timdee_07924e50.csv.csv,,,02-25-14_IanRichardson_015d4a82904c0c07.csvagainst_2-2-26_timdee_07924e50.csv.csv,,,02-25-14_IanRichardson_015d4a82904c0c07.csvagainst_3-30-15_timdee_07924e50.csv.csv,,,02-25-14_IanRichardson_015d4a82904c0c07.csvagainst_4-2-15_IanRichardson_015d4a82904c0c07.csv.csv,,,2-2-15_timdee_07924e50.csvagainst_02-25-14_IanRichardson_015d4a82904c0c07.csv.csv,,,2-2-15_timdee_07924e50.csvagainst_2-2-15_timdee_07924e50.csv.csv,,,2-2-15_timdee_07924e50.csvagainst_2-2-26_timdee_07924e50.csv.csv,,,2-2-15_timdee_07924e50.csvagainst_3-30-15_timdee_07924e50.csv.csv,,,2-2-15_timdee_07924e50.csvagainst_4-2-15_IanRichardson_015d4a82904c0c07.csv.csv,,,2-2-26_timdee_07924e50.csvagainst_02-25-14_IanRichardson_015d4a82904c0c07.csv.csv,,,2-2-26_timdee_07924e50.csvagainst_2-2-15_timdee_07924e50.csv.csv,,,2-2-26_timdee_07924e50.csvagainst_2-2-26_timdee_07924e50.csv.csv,,,2-2-26_timdee_07924e50.csvagainst_3-30-15_timdee_07924e50.csv.csv,,,2-2-26_timdee_07924e50.csvagainst_4-2-15_IanRichardson_015d4a82904c0c07.csv.csv,,,3-30-15_timdee_07924e50.csvagainst_02-25-14_IanRichardson_015d4a82904c0c07.csv.csv,,,3-30-15_timdee_07924e50.csvagainst_2-2-15_timdee_07924e50.csv.csv,,,3-30-15_timdee_07924e50.csvagainst_2-2-26_timdee_07924e50.csv.csv,,,3-30-15_timdee_07924e50.csvagainst_3-30-15_timdee_07924e50.csv.csv,,,3-30-15_timdee_07924e50.csvagainst_4-2-15_IanRichardson_015d4a82904c0c07.csv.csv,,,4-2-15_IanRichardson_015d4a82904c0c07.csvagainst_02-25-14_IanRichardson_015d4a82904c0c07.csv.csv,,,4-2-15_IanRichardson_015d4a82904c0c07.csvagainst_2-2-15_timdee_07924e50.csv.csv,,,4-2-15_IanRichardson_015d4a82904c0c07.csvagainst_2-2-26_timdee_07924e50.csv.csv,,,4-2-15_IanRichardson_015d4a82904c0c07.csvagainst_3-30-15_timdee_07924e50.csv.csv,,,4-2-15_IanRichardson_015d4a82904c0c07.csvagainst_4-2-15_IanRichardson_015d4a82904c0c07.csv.csv,,
,,,Max,Min,Avg,Max,Min,Avg,Max,Min,Avg,Max,Min,Avg,Max,Min,Avg,Max,Min,Avg,Max,Min,Avg,Max,Min,Avg,Max,Min,Avg,Max,Min,Avg,Max,Min,Avg,Max,Min,Avg,Max,Min,Avg,Max,Min,Avg,Max,Min,Avg,Max,Min,Avg,Max,Min,Avg,Max,Min,Avg,Max,Min,Avg,Max,Min,Avg,Max,Min,Avg,Max,Min,Avg,Max,Min,Avg,Max,Min,Avg,Max,Min,Avg
3,17,1000,0.8521,0.8162,1,0,0,0,0,0,0,0,0,0,0.9999,0.6462,0.8600,0,0,0,0,0,0,1.000,0.7994,1,0.9660,0.6890,0.9942,1.000,0.2930,0.4105,0,0,0,0,0,0,0.9973,0.6796,0.9872,1.000,0.8178,1,0.714,0.4725,0.01317,0,0,0,0,0,0,0.9692,0.7505,1,0.9999,0.7739,1,0.2422,0.1823,0,0.8084,0.7554,1,0,0,0,0,0,0,0,0,0,1.000,0.773,1
3,17,1500,0.8699,0.8040,1,0,0,0,0,0,0,0,0,0,1.000,0.7171,1,0.7406,0.6901,0.7475,0,0,0,1.000,0.8310,1,0.9537,0.6633,0.9747,0.8790,0.2062,0.3428,0,0,0,0,0,0,0.9984,0.7754,1,1.000,0.7166,1,0.6729,0.4407,0,0,0,0,0,0,0,0.9999,0.7359,1,1.000,0.7811,1,0.2423,0.1803,0,0.7876,0.7008,1,0,0,0,0,0,0,0,0,0,1.000,0.7789,1
3,17,2000,0.8567,0.7939,1,0,0,0,0,0,0,0,0,0,0.9938,0.6705,0.9093,0.7539,0.6693,0.8039,0,0,0,1.000,0.7909,1,1.000,0.7195,1,0.9058,0.2211,0.3799,0,0,0,0,0,0,0.9999,0.8083,1,1.000,0.76,1,0.6761,0.4115,0,0,0,0,0,0,0,1.000,0.7142,1,0.9999,0.7735,1,0.2180,0.1734,0,0.80,0.6916,0.9925,0,0,0,0,0,0,0,0,0,0.9998,0.7788,1
3,18,1000,0.8587,0.8203,1,0,0,0,0,0,0,0,0,0,1.000,0.7230,1,0,0,0,0,0,0,1.000,0.7260,1,1.000,0.7048,1,0.9999,0.4054,0.4135,0,0,0,0,0,0,1.000,0.7794,1,0.9390,0.7009,1,0.7078,0.4464,0.01317,0,0,0,0,0,0,0.9632,0.7642,1,0.9999,0.8004,1,0.2596,0.1791,0,0.7259,0.6662,0.4064,0,0,0,0,0,0,0,0,0,0.9999,0.7290,1
3,18,1500,0.8811,0.8122,1,0,0,0,0,0,0,0,0,0,1.000,0.7908,1,0.7408,0.6803,0.7071,0,0,0,1.000,0.78,1,0.9556,0.6842,0.9954,0.8502,0.2915,0.3243,0,0,0,0,0,0,0.9998,0.7740,1,0.8412,0.6095,0.6943,0.6715,0.4221,0,0,0,0,0,0,0,0.9555,0.7431,1,1.000,0.7865,1,0.2949,0.1897,0,0.6979,0.5195,0,0,0,0,0,0,0,0,0,0,1.000,0.7297,1
3,18,2000,0.8662,0.7953,1,0,0,0,0,0,0,0,0,0,1.000,0.7669,1,0.7516,0.6556,0.6993,0,0,0,1.000,0.8078,1,1.000,0.7697,1,0.8692,0.3278,0.3677,0,0,0,0,0,0,1.000,0.7658,1,0.8662,0.6536,0.8108,0.6738,0.4189,0,0,0,0,0,0,0,0.9999,0.7207,1,1.000,0.7953,1,0.2771,0.1674,0,0.7115,0.4831,0.03875,0,0,0,0,0,0,0,0,0,0.9999,0.7287,1
3,19,1000,0.8796,0.8578,1,0,0,0,0,0,0,0,0,0,1.000,0.7992,1,0,0,0,0,0,0,1.000,0.6911,0.9946,1.000,0.7303,1,0.6014,0.2474,0,0,0,0,0,0,0,0.9998,0.7033,1,0.9133,0.7683,1,0.6056,0.3967,0,0,0,0,0,0,0,0.9506,0.7095,1,1.000,0.7389,1,0.3478,0.2758,0,0.7779,0.6705,0.6491,0,0,0,0,0,0,0,0,0,0.9999,0.7277,1
3,19,1500,0.8730,0.8323,1,0,0,0,0,0,0,0,0,0,1.000,0.7964,1,0.3878,0.3704,0,0,0,0,1.000,0.7206,1,1.000,0.8372,1,0.4515,0.2230,0,0,0,0,0,0,0,1.000,0.6983,0.9986,0.9160,0.7298,1,0.6297,0.3922,0,0,0,0,0,0,0,0.9125,0.6824,0.9905,1.000,0.7464,1,0.3358,0.2684,0,0.7179,0.5926,0.1645,0,0,0,0,0,0,0,0,0,1.000,0.7267,1
3,19,2000,0.8725,0.8273,1,0,0,0,0,0,0,0,0,0,1.000,0.7936,1,0.3990,0.3580,0,0,0,0,1.000,0.7485,1,0.9999,0.8405,1,0.4302,0.2059,0,0,0,0,0,0,0,1.000,0.6795,0.9638,0.9323,0.7518,1,0.6271,0.3866,0,0,0,0,0,0,0,0.8921,0.6693,0.9529,1.000,0.7645,1,0.3259,0.2608,0,0.7613,0.6387,0.6259,0,0,0,0,0,0,0,0,0,1.000,0.7228,1
