W,K,T,02-25-14_IanRichardson_015d4a82904c0c07.csvagainst_02-25-14_IanRichardson_015d4a82904c0c07.csv.csv,,02-25-14_IanRichardson_015d4a82904c0c07.csvagainst_2-2-15_timdee_07924e50.csv.csv,,02-25-14_IanRichardson_015d4a82904c0c07.csvagainst_2-2-26_timdee_07924e50.csv.csv,,02-25-14_IanRichardson_015d4a82904c0c07.csvagainst_3-30-15_timdee_07924e50.csv.csv,,02-25-14_IanRichardson_015d4a82904c0c07.csvagainst_4-2-15_IanRichardson_015d4a82904c0c07.csv.csv,,2-2-15_timdee_07924e50.csvagainst_02-25-14_IanRichardson_015d4a82904c0c07.csv.csv,,2-2-15_timdee_07924e50.csvagainst_2-2-15_timdee_07924e50.csv.csv,,2-2-15_timdee_07924e50.csvagainst_2-2-26_timdee_07924e50.csv.csv,,2-2-15_timdee_07924e50.csvagainst_3-30-15_timdee_07924e50.csv.csv,,2-2-15_timdee_07924e50.csvagainst_4-2-15_IanRichardson_015d4a82904c0c07.csv.csv,,2-2-26_timdee_07924e50.csvagainst_02-25-14_IanRichardson_015d4a82904c0c07.csv.csv,,2-2-26_timdee_07924e50.csvagainst_2-2-15_timdee_07924e50.csv.csv,,2-2-26_timdee_07924e50.csvagainst_2-2-26_timdee_07924e50.csv.csv,,2-2-26_timdee_07924e50.csvagainst_3-30-15_timdee_07924e50.csv.csv,,2-2-26_timdee_07924e50.csvagainst_4-2-15_IanRichardson_015d4a82904c0c07.csv.csv,,3-30-15_timdee_07924e50.csvagainst_02-25-14_IanRichardson_015d4a82904c0c07.csv.csv,,3-30-15_timdee_07924e50.csvagainst_2-2-15_timdee_07924e50.csv.csv,,3-30-15_timdee_07924e50.csvagainst_2-2-26_timdee_07924e50.csv.csv,,3-30-15_timdee_07924e50.csvagainst_3-30-15_timdee_07924e50.csv.csv,,3-30-15_timdee_07924e50.csvagainst_4-2-15_IanRichardson_015d4a82904c0c07.csv.csv,,4-2-15_IanRichardson_015d4a82904c0c07.csvagainst_02-25-14_IanRichardson_015d4a82904c0c07.csv.csv,,4-2-15_IanRichardson_015d4a82904c0c07.csvagainst_2-2-15_timdee_07924e50.csv.csv,,4-2-15_IanRichardson_015d4a82904c0c07.csvagainst_2-2-26_timdee_07924e50.csv.csv,,4-2-15_IanRichardson_015d4a82904c0c07.csvagainst_3-30-15_timdee_07924e50.csv.csv,,4-2-15_IanRichardson_015d4a82904c0c07.csvagainst_4-2-15_IanRichardson_015d4a82904c0c07.csv.csv,
,,,Max,Min,Max,Min,Max,Min,Max,Min,Max,Min,Max,Min,Max,Min,Max,Min,Max,Min,Max,Min,Max,Min,Max,Min,Max,Min,Max,Min,Max,Min,Max,Min,Max,Min,Max,Min,Max,Min,Max,Min,Max,Min,Max,Min,Max,Min,Max,Min,Max,Min
3,5,1000,0,1,0,1,0,1,0,1,0.9997,0.2831,0,1,0,1,0.6667,0.3571,0.9996,0.3704,0.903,0.3509,0,1,0,1,1.000,0.5521,0.9980,0.5313,0,1,0,1,0,1,0.7961,-0.212,0.9965,0.6652,0,1,0,1,0,1,0,1,0,1,0.8757,0.6667
3,5,1500,0,1,0,1,0,1,0,1,0.9997,-0.317,0,1,0,1,0.6717,0.0975,0.9993,0.1993,0.764,-0.085,0,1,0,1,1.000,0.1517,0.9999,0.4312,0,1,0,1,0,1,0.7688,-0.242,0.9998,0.6665,0,1,0,1,0,1,0,1,0,1,0.9315,0.6661
3,5,2000,0,1,0,1,0,1,0,1,0.9998,-0.724,0,1,0,1,0.9074,0.3921,0.9999,0.330,0.9920,-0.133,0,1,0,1,1.000,0.2386,1.000,0.3826,0,1,0,1,0,1,0.8027,-0.174,0.9991,0.666,0,1,0,1,0,1,0,1,0,1,0.9949,0.6661
3,6,1000,0,1,0,1,0,1,0,1,0.9982,0.6077,0,1,0,1,0.9999,0.5261,0.9999,0.3353,0.9448,0.7108,0,1,0,1,0.9998,0.7810,0.8998,0.7234,0,1,0,1,0,1,0.702,-0.65,0.9975,0.6667,0,1,0,1,0,1,0,1,0,1,0.793,0.6655
3,6,1500,0,1,0,1,0,1,0,1,1.000,0.6358,0,1,0,1,0.9995,0.33,1.000,0.495,0.9999,0.6268,0,1,0,1,1.000,0.4962,1.000,0.7512,0,1,0,1,0,1,0.6762,-0.44,0.9999,0.6642,0,1,0,1,0,1,0,1,0,1,0.7675,0.6667
3,6,2000,0,1,0,1,0,1,0,1,1.000,0.6288,0,1,0,1,0.9998,0.2393,1.000,0.355,0.9774,0.5461,0,1,0,1,0.9991,0.4925,0.9622,0.7489,0,1,0,1,0,1,0.7965,-0.176,0.9999,0.6658,0,1,0,1,0,1,0,1,0,1,0.8203,0.6653
3,7,1000,0,1,0,1,0,1,0,1,1.000,0.6612,0,1,0,1,1.000,0.7775,0.9999,0.664,0.6256,0.25,0,1,0,1,1.000,0.7432,1.000,0.6567,0,1,0,1,0,1,0.7516,0.4054,0.9416,0.7608,0,1,0,1,0,1,0,1,0,1,0.8359,0.6651
3,7,1500,0,1,0,1,0,1,0,1,0.9999,0.6563,0,1,0,1,1.000,0.7123,1.000,0.4757,0.5064,0.2009,0,1,0,1,0.9996,0.325,0.9999,0.6133,0,1,0,1,0,1,0.7365,0.4674,1.000,0.7646,0,1,0,1,0,1,0,1,0,1,0.7809,0.6663
3,7,2000,0,1,0,1,0,1,0,1,1.000,0.6518,0,1,0,1,0.9263,0.6749,1.000,0.3254,0.6158,0.2421,0,1,0,1,0.9999,0.2719,0.9997,0.6678,0,1,0,1,0,1,0.7812,0.538,1.000,0.7644,0,1,0,1,0,1,0,1,0,1,0.7904,0.6665
