"ngram_0","ngram_1","key","probability_key","ngram_weight"
1, 2, 0, 0.5, 4.715868898844612E-4
1, 2, 3, 0.5, 4.715868898844612E-4
2, 0, 4, 0.5, 4.715868898844612E-4
2, 0, 5, 0.5, 4.715868898844612E-4
0, 4, 6, 1.0, 2.357934449422306E-4
4, 6, 2, 0.03225806451612903, 0.007309596793209149
4, 6, 3, 0.12903225806451613, 0.007309596793209149
4, 6, 7, 0.22580645161290322, 0.007309596793209149
4, 6, 8, 0.03225806451612903, 0.007309596793209149
4, 6, 4, 0.16129032258064516, 0.007309596793209149
4, 6, 9, 0.06451612903225806, 0.007309596793209149
4, 6, 5, 0.03225806451612903, 0.007309596793209149
4, 6, 10, 0.03225806451612903, 0.007309596793209149
4, 6, 11, 0.03225806451612903, 0.007309596793209149
4, 6, 1, 0.03225806451612903, 0.007309596793209149
4, 6, 12, 0.06451612903225806, 0.007309596793209149
4, 6, 13, 0.06451612903225806, 0.007309596793209149
4, 6, 14, 0.03225806451612903, 0.007309596793209149
4, 6, 15, 0.03225806451612903, 0.007309596793209149
4, 6, 16, 0.03225806451612903, 0.007309596793209149
6, 2, 4, 0.5, 4.715868898844612E-4
6, 2, 3, 0.5, 4.715868898844612E-4
2, 4, 4, 0.3333333333333333, 7.073803348266918E-4
2, 4, 1, 0.3333333333333333, 7.073803348266918E-4
2, 4, 17, 0.3333333333333333, 7.073803348266918E-4
4, 4, 4, 0.17857142857142858, 0.006602216458382457
4, 4, 6, 0.10714285714285714, 0.006602216458382457
4, 4, 18, 0.03571428571428571, 0.006602216458382457
4, 4, 13, 0.07142857142857142, 0.006602216458382457
4, 4, 8, 0.03571428571428571, 0.006602216458382457
4, 4, 17, 0.03571428571428571, 0.006602216458382457
4, 4, 3, 0.10714285714285714, 0.006602216458382457
4, 4, 0, 0.03571428571428571, 0.006602216458382457
4, 4, 19, 0.03571428571428571, 0.006602216458382457
4, 4, 7, 0.21428571428571427, 0.006602216458382457
4, 4, 20, 0.03571428571428571, 0.006602216458382457
4, 4, 12, 0.03571428571428571, 0.006602216458382457
4, 4, 11, 0.03571428571428571, 0.006602216458382457
4, 4, 16, 0.03571428571428571, 0.006602216458382457
6, 3, 9, 0.1111111111111111, 0.0021221410044800753
6, 3, 0, 0.1111111111111111, 0.0021221410044800753
6, 3, 1, 0.1111111111111111, 0.0021221410044800753
6, 3, 13, 0.2222222222222222, 0.0021221410044800753
6, 3, 4, 0.2222222222222222, 0.0021221410044800753
6, 3, 8, 0.1111111111111111, 0.0021221410044800753
6, 3, 21, 0.1111111111111111, 0.0021221410044800753
3, 9, 2, 0.1111111111111111, 0.0021221410044800753
3, 9, 22, 0.2222222222222222, 0.0021221410044800753
3, 9, 3, 0.3333333333333333, 0.0021221410044800753
3, 9, 23, 0.1111111111111111, 0.0021221410044800753
3, 9, 24, 0.1111111111111111, 0.0021221410044800753
3, 9, 25, 0.1111111111111111, 0.0021221410044800753
9, 2, 3, 0.3333333333333333, 7.073803348266918E-4
9, 2, 26, 0.3333333333333333, 7.073803348266918E-4
9, 2, 4, 0.3333333333333333, 7.073803348266918E-4
2, 3, 27, 0.2, 0.001178967224711153
2, 3, 9, 0.2, 0.001178967224711153
2, 3, 28, 0.2, 0.001178967224711153
2, 3, 5, 0.2, 0.001178967224711153
2, 3, 4, 0.2, 0.001178967224711153
3, 27, 22, 1.0, 2.357934449422306E-4
27, 22, 2, 1.0, 2.357934449422306E-4
22, 2, 18, 0.25, 9.431737797689225E-4
22, 2, 9, 0.25, 9.431737797689225E-4
22, 2, 13, 0.25, 9.431737797689225E-4
22, 2, 4, 0.25, 9.431737797689225E-4
2, 18, 28, 1.0, 2.357934449422306E-4
18, 28, 9, 1.0, 2.357934449422306E-4
28, 9, 5, 0.5, 4.715868898844612E-4
28, 9, 22, 0.5, 4.715868898844612E-4
9, 5, 7, 0.3333333333333333, 7.073803348266918E-4
9, 5, 19, 0.3333333333333333, 7.073803348266918E-4
9, 5, 12, 0.3333333333333333, 7.073803348266918E-4
5, 7, 22, 0.5, 4.715868898844612E-4
5, 7, 16, 0.5, 4.715868898844612E-4
7, 22, 9, 0.06666666666666667, 0.003536901674133459
7, 22, 6, 0.06666666666666667, 0.003536901674133459
7, 22, 4, 0.06666666666666667, 0.003536901674133459
7, 22, 22, 0.2, 0.003536901674133459
7, 22, 1, 0.13333333333333333, 0.003536901674133459
7, 22, 12, 0.06666666666666667, 0.003536901674133459
7, 22, 29, 0.06666666666666667, 0.003536901674133459
7, 22, 11, 0.06666666666666667, 0.003536901674133459
7, 22, 17, 0.06666666666666667, 0.003536901674133459
7, 22, 21, 0.06666666666666667, 0.003536901674133459
7, 22, 13, 0.06666666666666667, 0.003536901674133459
7, 22, 23, 0.06666666666666667, 0.003536901674133459
22, 9, 3, 0.2, 0.001178967224711153
22, 9, 22, 0.4, 0.001178967224711153
22, 9, 29, 0.2, 0.001178967224711153
22, 9, 13, 0.2, 0.001178967224711153
9, 3, 9, 0.16666666666666666, 0.0028295213393067674
9, 3, 22, 0.08333333333333333, 0.0028295213393067674
9, 3, 30, 0.08333333333333333, 0.0028295213393067674
9, 3, 11, 0.08333333333333333, 0.0028295213393067674
9, 3, 1, 0.08333333333333333, 0.0028295213393067674
9, 3, 5, 0.08333333333333333, 0.0028295213393067674
9, 3, 18, 0.08333333333333333, 0.0028295213393067674
9, 3, 13, 0.16666666666666666, 0.0028295213393067674
9, 3, 7, 0.08333333333333333, 0.0028295213393067674
9, 3, 4, 0.08333333333333333, 0.0028295213393067674
9, 22, 22, 0.2857142857142857, 0.0016505541145956143
9, 22, 29, 0.14285714285714285, 0.0016505541145956143
9, 22, 13, 0.14285714285714285, 0.0016505541145956143
9, 22, 6, 0.14285714285714285, 0.0016505541145956143
9, 22, 8, 0.14285714285714285, 0.0016505541145956143
9, 22, 18, 0.14285714285714285, 0.0016505541145956143
22, 22, 6, 0.05714285714285714, 0.01650554114595614
22, 22, 3, 0.014285714285714285, 0.01650554114595614
22, 22, 14, 0.02857142857142857, 0.01650554114595614
22, 22, 31, 0.014285714285714285, 0.01650554114595614
22, 22, 22, 0.38571428571428573, 0.01650554114595614
22, 22, 11, 0.1, 0.01650554114595614
22, 22, 1, 0.02857142857142857, 0.01650554114595614
22, 22, 13, 0.07142857142857142, 0.01650554114595614
22, 22, 32, 0.014285714285714285, 0.01650554114595614
22, 22, 23, 0.014285714285714285, 0.01650554114595614
22, 22, 9, 0.02857142857142857, 0.01650554114595614
22, 22, 21, 0.05714285714285714, 0.01650554114595614
22, 22, 33, 0.014285714285714285, 0.01650554114595614
22, 22, 7, 0.04285714285714286, 0.01650554114595614
22, 22, 4, 0.05714285714285714, 0.01650554114595614
22, 22, 18, 0.014285714285714285, 0.01650554114595614
22, 22, 34, 0.014285714285714285, 0.01650554114595614
22, 22, 35, 0.014285714285714285, 0.01650554114595614
22, 22, 24, 0.014285714285714285, 0.01650554114595614
22, 22, 25, 0.014285714285714285, 0.01650554114595614
22, 6, 3, 0.1, 0.002357934449422306
22, 6, 22, 0.2, 0.002357934449422306
22, 6, 9, 0.1, 0.002357934449422306
22, 6, 1, 0.2, 0.002357934449422306
22, 6, 21, 0.1, 0.002357934449422306
22, 6, 19, 0.1, 0.002357934449422306
22, 6, 7, 0.1, 0.002357934449422306
22, 6, 13, 0.1, 0.002357934449422306
3, 0, 22, 0.5, 4.715868898844612E-4
3, 0, 5, 0.5, 4.715868898844612E-4
0, 22, 22, 0.5, 4.715868898844612E-4
0, 22, 7, 0.5, 4.715868898844612E-4
22, 3, 17, 0.125, 0.001886347559537845
22, 3, 22, 0.375, 0.001886347559537845
22, 3, 24, 0.25, 0.001886347559537845
22, 3, 1, 0.25, 0.001886347559537845
3, 17, 19, 0.25, 9.431737797689225E-4
3, 17, 3, 0.25, 9.431737797689225E-4
3, 17, 8, 0.25, 9.431737797689225E-4
3, 17, 7, 0.25, 9.431737797689225E-4
17, 19, 29, 0.25, 9.431737797689225E-4
17, 19, 7, 0.25, 9.431737797689225E-4
17, 19, 12, 0.25, 9.431737797689225E-4
17, 19, 3, 0.25, 9.431737797689225E-4
19, 29, 9, 0.25, 9.431737797689225E-4
19, 29, 29, 0.25, 9.431737797689225E-4
19, 29, 19, 0.25, 9.431737797689225E-4
19, 29, 25, 0.25, 9.431737797689225E-4
29, 9, 0, 0.2, 0.001178967224711153
29, 9, 24, 0.2, 0.001178967224711153
29, 9, 6, 0.2, 0.001178967224711153
29, 9, 25, 0.2, 0.001178967224711153
29, 9, 35, 0.2, 0.001178967224711153
9, 0, 3, 1.0, 2.357934449422306E-4
0, 3, 29, 0.25, 9.431737797689225E-4
0, 3, 19, 0.25, 9.431737797689225E-4
0, 3, 4, 0.25, 9.431737797689225E-4
0, 3, 32, 0.25, 9.431737797689225E-4
3, 29, 9, 1.0, 4.715868898844612E-4
9, 24, 3, 0.3333333333333333, 7.073803348266918E-4
9, 24, 21, 0.3333333333333333, 7.073803348266918E-4
9, 24, 36, 0.3333333333333333, 7.073803348266918E-4
24, 3, 31, 0.5, 4.715868898844612E-4
24, 3, 17, 0.5, 4.715868898844612E-4
3, 31, 0, 1.0, 2.357934449422306E-4
31, 0, 0, 1.0, 2.357934449422306E-4
0, 0, 3, 1.0, 2.357934449422306E-4
3, 19, 33, 1.0, 2.357934449422306E-4
2, 9, 15, 0.3333333333333333, 7.073803348266918E-4
2, 9, 6, 0.6666666666666666, 7.073803348266918E-4
9, 15, 22, 1.0, 2.357934449422306E-4
15, 22, 3, 0.3333333333333333, 7.073803348266918E-4
15, 22, 22, 0.3333333333333333, 7.073803348266918E-4
15, 22, 7, 0.3333333333333333, 7.073803348266918E-4
3, 22, 7, 0.3076923076923077, 0.0030653147842489977
3, 22, 6, 0.15384615384615385, 0.0030653147842489977
3, 22, 3, 0.07692307692307693, 0.0030653147842489977
3, 22, 15, 0.07692307692307693, 0.0030653147842489977
3, 22, 13, 0.07692307692307693, 0.0030653147842489977
3, 22, 25, 0.15384615384615385, 0.0030653147842489977
3, 22, 19, 0.07692307692307693, 0.0030653147842489977
3, 22, 22, 0.07692307692307693, 0.0030653147842489977
22, 7, 9, 0.1, 0.004715868898844612
22, 7, 11, 0.05, 0.004715868898844612
22, 7, 1, 0.1, 0.004715868898844612
22, 7, 22, 0.15, 0.004715868898844612
22, 7, 34, 0.05, 0.004715868898844612
22, 7, 4, 0.05, 0.004715868898844612
22, 7, 21, 0.05, 0.004715868898844612
22, 7, 13, 0.25, 0.004715868898844612
22, 7, 29, 0.05, 0.004715868898844612
22, 7, 6, 0.05, 0.004715868898844612
22, 7, 37, 0.05, 0.004715868898844612
22, 7, 7, 0.05, 0.004715868898844612
7, 9, 3, 0.23076923076923078, 0.0030653147842489977
7, 9, 23, 0.15384615384615385, 0.0030653147842489977
7, 9, 6, 0.07692307692307693, 0.0030653147842489977
7, 9, 22, 0.07692307692307693, 0.0030653147842489977
7, 9, 7, 0.23076923076923078, 0.0030653147842489977
7, 9, 11, 0.15384615384615385, 0.0030653147842489977
7, 9, 9, 0.07692307692307693, 0.0030653147842489977
