[preceeding sequence] [touch pressure, probability]
[0.1824, 0.1488] [0.2496, 0.5000]
[0.1488, 0.2496] [0.2592, 0.5000]
[0.2496, 0.2592] [0.1296, 0.3333]
[0.2160, 0.1776] [0.1968, 0.3333]
[0.1776, 0.1968] [0.1536, 0.7500]
[0.1968, 0.1536] [0.1440, 0.5000]
[0.1536, 0.1440] [0.1440, 0.5000]
[0.1440, 0.1440] [0.1248, 0.2000]
[0.1440, 0.1248] [0.2448, 0.4000]
[0.1248, 0.2448] [0.2304, 0.5000]
[0.2448, 0.2304] [0.2208, 0.3333]
[0.2304, 0.2208] [0.2208, 0.5000]
[0.2208, 0.2208] [0.2208, 1.0000]
[0.1680, 0.1680] [0.1680, 0.6667]
[0.1680, 0.1680] [0.1584, 0.6667]
[0.1680, 0.1584] [0.1920, 0.3333]
[0.1584, 0.1920] [0.1536, 0.7500]
[0.1920, 0.1536] [0.2112, 0.3333]
[0.1536, 0.2112] [0.1632, 0.7500]
[0.2112, 0.1632] [0.1344, 0.5000]
[0.1632, 0.1344] [0.1488, 0.5000]
[0.1344, 0.1488] [0.2112, 0.2000]
[0.1488, 0.2112] [0.1104, 0.3333]
[0.2112, 0.1104] [0.1920, 1.0000]
[0.1104, 0.1920] [0.1872, 1.0000]
[0.1920, 0.1872] [0.1392, 0.5000]
[0.1872, 0.1392] [0.2304, 0.5000]
[0.1392, 0.2304] [0.2064, 0.2500]
[0.2304, 0.2064] [0.1872, 0.5000]
[0.1392, 0.1392] [0.1872, 0.2000]
[0.1392, 0.1872] [0.1920, 1.0000]
[0.2448, 0.1392] [0.2016, 1.0000]
[0.1392, 0.2016] [0.2544, 0.3333]
[0.2016, 0.2544] [0.1680, 1.0000]
[0.2544, 0.1680] [0.2400, 0.3333]
[0.1680, 0.2400] [0.1536, 0.5000]
[0.2400, 0.1536] [0.2160, 0.6667]
[0.1440, 0.1488] [0.2496, 0.4000]
[0.1488, 0.2496] [0.1584, 0.2500]
[0.2496, 0.1584] [0.2064, 0.6667]
[0.1584, 0.2064] [0.2064, 0.2500]
[0.2112, 0.1824] [0.2400, 0.1667]
[0.1824, 0.2400] [0.2400, 0.5000]
[0.2400, 0.2400] [0.2400, 0.3333]
[0.1056, 0.1008] [0.0768, 0.5000]
[0.1008, 0.0768] [0.1968, 0.5000]
[0.1152, 0.2064] [0.2064, 0.3333]
