base_data_set	auth_data_set	window_size	token_size	threshold	base_model_size	auth_model_size	probability
t_ian_d_ian.csv	t_ian_d_ian.csv	3	7	5000	1000	1000	0.2689309944343491
t_ian_d_ian.csv	t_ian_d_ian.csv	3	7	5000	1000	1000	-0.5659407449829035
t_ian_d_ian.csv	t_ian_d_ian.csv	3	7	5000	1000	1000	0.3785769069126309
t_ian_d_ian.csv	t_ian_d_ian.csv	3	7	5000	1000	1000	0.3161511862299268
t_ian_d_ian.csv	t_ian_d_ian.csv	3	7	5000	1000	1000	0.2703705037839662
t_ian_d_ian.csv	t_ian_d_ian.csv	3	7	5000	1000	1000	0.36123184468350034
t_ian_d_ian.csv	t_ian_d_ian.csv	3	7	5000	1000	1000	0.24442710246052013
t_ian_d_ian.csv	t_ian_d_ian.csv	3	7	5000	1000	1000	0.31918184189310916
t_ian_d_ian.csv	t_ian_d_ian.csv	3	7	5000	1000	1000	0.34620052663231615
t_ian_d_ian.csv	t_ian_d_ian.csv	3	7	5000	1000	1000	-1.0063115889072622
t_ian_d_ian.csv	t_ian_d_ian.csv	3	7	5000	1000	1000	0.42413255058229327
t_ian_d_ian.csv	t_ian_d_ian.csv	3	7	5000	1000	1000	0.44775816631285403
t_ian_d_ian.csv	t_ian_d_ian.csv	3	7	5000	1000	1000	0.3160119715675276
t_ian_d_ian.csv	t_ian_d_ian.csv	3	7	5000	1000	1000	0.20855613962756858
t_ian_d_ian.csv	t_ian_d_ian.csv	3	7	5000	1000	1000	0.2327915271311488
t_ian_d_ian.csv	t_ian_d_ian.csv	3	7	5000	1000	1000	0.29225294364979204
t_ian_d_ian.csv	t_ian_d_ian.csv	3	7	5000	1000	1000	0.27828746177370056
t_ian_d_ian.csv	t_ian_d_ian.csv	3	7	5000	1000	1000	0.3604515775428906
t_ian_d_ian.csv	t_ian_d_ian.csv	3	7	5000	1000	1000	0.01678571428571518
t_ian_d_ian.csv	t_ian_d_ian.csv	3	7	5000	1000	1000	0.0769230769230771
t_ian_d_ian.csv	t_tim_d_tim.csv	3	7	5000	1000	1000	-0.00844347959732561
t_ian_d_ian.csv	t_tim_d_tim.csv	3	7	5000	1000	1000	0.21069211490264084
t_ian_d_ian.csv	t_tim_d_tim.csv	3	7	5000	1000	1000	0.0
t_ian_d_ian.csv	t_tim_d_tim.csv	3	7	5000	1000	1000	0.0
t_ian_d_ian.csv	t_tim_d_tim.csv	3	7	5000	1000	1000	0.0
t_ian_d_ian.csv	t_tim_d_tim.csv	3	7	5000	1000	1000	0.0
t_ian_d_ian.csv	t_tim_d_tim.csv	3	7	5000	1000	1000	0.0
t_ian_d_ian.csv	t_tim_d_tim.csv	3	7	5000	1000	1000	0.0
t_ian_d_ian.csv	t_tim_d_tim.csv	3	7	5000	1000	1000	0.0
t_ian_d_ian.csv	t_tim_d_tim.csv	3	7	5000	1000	1000	0.3049537037037038
t_ian_d_ian.csv	t_tim_d_tim.csv	3	7	5000	1000	1000	0.0
t_ian_d_ian.csv	t_tim_d_tim.csv	3	7	5000	1000	1000	0.0
t_ian_d_ian.csv	t_tim_d_tim.csv	3	7	5000	1000	1000	0.0
t_ian_d_ian.csv	t_tim_d_tim.csv	3	7	5000	1000	1000	0.0
t_ian_d_ian.csv	t_tim_d_tim.csv	3	7	5000	1000	1000	0.0
t_ian_d_ian.csv	t_tim_d_tim.csv	3	7	5000	1000	1000	0.0
t_ian_d_ian.csv	t_tim_d_tim.csv	3	7	5000	1000	1000	0.0
t_ian_d_ian.csv	t_tim_d_tim.csv	3	7	5000	1000	1000	0.0
t_ian_d_ian.csv	t_tim_d_tim.csv	3	7	5000	1000	1000	0.0
t_ian_d_ian.csv	t_tim_d_tim.csv	3	7	5000	1000	1000	0.0
t_tim_d_tim.csv	t_ian_d_ian.csv	3	7	5000	1000	1000	0.2775671704063658
t_tim_d_tim.csv	t_ian_d_ian.csv	3	7	5000	1000	1000	0.4420584499015875
t_tim_d_tim.csv	t_ian_d_ian.csv	3	7	5000	1000	1000	-0.10960566053300957
t_tim_d_tim.csv	t_ian_d_ian.csv	3	7	5000	1000	1000	-1.155146050794198
t_tim_d_tim.csv	t_ian_d_ian.csv	3	7	5000	1000	1000	0.07563865546218473
t_tim_d_tim.csv	t_ian_d_ian.csv	3	7	5000	1000	1000	0.08541274895518813
t_tim_d_tim.csv	t_ian_d_ian.csv	3	7	5000	1000	1000	-0.1297192277584427
t_tim_d_tim.csv	t_ian_d_ian.csv	3	7	5000	1000	1000	-0.05267138434321117
t_tim_d_tim.csv	t_ian_d_ian.csv	3	7	5000	1000	1000	-0.0188987164596921
t_tim_d_tim.csv	t_ian_d_ian.csv	3	7	5000	1000	1000	0.30153026867312593
t_tim_d_tim.csv	t_ian_d_ian.csv	3	7	5000	1000	1000	-0.0552487545134599
t_tim_d_tim.csv	t_ian_d_ian.csv	3	7	5000	1000	1000	-0.06438830918599803
t_tim_d_tim.csv	t_ian_d_ian.csv	3	7	5000	1000	1000	-0.006065162907268773
t_tim_d_tim.csv	t_ian_d_ian.csv	3	7	5000	1000	1000	-0.2966327049407702
t_tim_d_tim.csv	t_ian_d_ian.csv	3	7	5000	1000	1000	-0.1488637730608129
t_tim_d_tim.csv	t_ian_d_ian.csv	3	7	5000	1000	1000	-0.4017293986397026
t_tim_d_tim.csv	t_ian_d_ian.csv	3	7	5000	1000	1000	6.589959478661145E-4
t_tim_d_tim.csv	t_ian_d_ian.csv	3	7	5000	1000	1000	-0.3398542777469753
t_tim_d_tim.csv	t_ian_d_ian.csv	3	7	5000	1000	1000	-0.7557659251961157
t_tim_d_tim.csv	t_ian_d_ian.csv	3	7	5000	1000	1000	0.0
t_tim_d_tim.csv	t_tim_d_tim.csv	3	7	5000	1000	1000	0.3399865834648439
t_tim_d_tim.csv	t_tim_d_tim.csv	3	7	5000	1000	1000	0.4320137358453946
t_tim_d_tim.csv	t_tim_d_tim.csv	3	7	5000	1000	1000	0.42112894662963907
t_tim_d_tim.csv	t_tim_d_tim.csv	3	7	5000	1000	1000	0.44817444094367176
t_tim_d_tim.csv	t_tim_d_tim.csv	3	7	5000	1000	1000	0.2707467212274912
t_tim_d_tim.csv	t_tim_d_tim.csv	3	7	5000	1000	1000	0.43479217541717596
t_tim_d_tim.csv	t_tim_d_tim.csv	3	7	5000	1000	1000	0.2759800047623707
t_tim_d_tim.csv	t_tim_d_tim.csv	3	7	5000	1000	1000	0.3631355669858636
t_tim_d_tim.csv	t_tim_d_tim.csv	3	7	5000	1000	1000	0.36439151213587406
t_tim_d_tim.csv	t_tim_d_tim.csv	3	7	5000	1000	1000	0.35930420342185077
t_tim_d_tim.csv	t_tim_d_tim.csv	3	7	5000	1000	1000	0.3557998077542667
t_tim_d_tim.csv	t_tim_d_tim.csv	3	7	5000	1000	1000	0.3697017584185721
t_tim_d_tim.csv	t_tim_d_tim.csv	3	7	5000	1000	1000	0.43203443661190144
t_tim_d_tim.csv	t_tim_d_tim.csv	3	7	5000	1000	1000	0.4433082155939305
t_tim_d_tim.csv	t_tim_d_tim.csv	3	7	5000	1000	1000	0.2241325570272944
t_tim_d_tim.csv	t_tim_d_tim.csv	3	7	5000	1000	1000	0.3321897786712604
t_tim_d_tim.csv	t_tim_d_tim.csv	3	7	5000	1000	1000	0.41106551467986574
t_tim_d_tim.csv	t_tim_d_tim.csv	3	7	5000	1000	1000	0.3177258639053354
t_tim_d_tim.csv	t_tim_d_tim.csv	3	7	5000	1000	1000	0.28866672315069575
t_tim_d_tim.csv	t_tim_d_tim.csv	3	7	5000	1000	1000	0.0
