best_threshold: 0.86
false_positive_percentage: 0.0
false_negative_percentage: 1.0
number_of_tests_conducted: 80

minimized_false_positive_threshold: 0.05
false_positive_percentage: 0.0
false_negative_percentage: 0.9
number_of_tests_conducted: 80

equalized_false_positive_negative_threshold: 0.0
false_positive_percentage: 0.725
false_negative_percentage: 0.0
number_of_tests_conducted: 80

authentication_threshold	false_positive_percentage	false_negative_percentage	authentication_accuracy
0.0	0.725	0.0	0.6375
1.0E-8	0.0	0.075	0.9625
2.0E-8	0.0	0.075	0.9625
3.0000000000000004E-8	0.0	0.075	0.9625
4.0E-8	0.0	0.075	0.9625
5.0E-8	0.0	0.075	0.9625
6.000000000000001E-8	0.0	0.075	0.9625
7.0E-8	0.0	0.075	0.9625
8.0E-8	0.0	0.075	0.9625
9.0E-8	0.0	0.075	0.9625
1.0E-7	0.0	0.075	0.9625
1.1E-7	0.0	0.075	0.9625
1.2000000000000002E-7	0.0	0.075	0.9625
1.3E-7	0.0	0.075	0.9625
1.4E-7	0.0	0.075	0.9625
1.5E-7	0.0	0.075	0.9625
1.6E-7	0.0	0.075	0.9625
1.7000000000000001E-7	0.0	0.075	0.9625
1.8E-7	0.0	0.075	0.9625
1.9E-7	0.0	0.075	0.9625
2.0E-7	0.0	0.075	0.9625
2.1E-7	0.0	0.075	0.9625
2.2E-7	0.0	0.075	0.9625
2.3E-7	0.0	0.075	0.9625
2.4000000000000003E-7	0.0	0.075	0.9625
2.5E-7	0.0	0.075	0.9625
2.6E-7	0.0	0.075	0.9625
2.7E-7	0.0	0.075	0.9625
2.8E-7	0.0	0.075	0.9625
2.9000000000000003E-7	0.0	0.075	0.9625
3.0E-7	0.0	0.075	0.9625
3.1E-7	0.0	0.075	0.9625
3.2E-7	0.0	0.075	0.9625
3.3E-7	0.0	0.075	0.9625
3.4000000000000003E-7	0.0	0.075	0.9625
3.5E-7	0.0	0.075	0.9625
3.6E-7	0.0	0.075	0.9625
3.7E-7	0.0	0.075	0.9625
3.8E-7	0.0	0.075	0.9625
3.9E-7	0.0	0.075	0.9625
4.0E-7	0.0	0.075	0.9625
