base_model_size	auth_model_size	authentication_accuracy
100	100	0.5108641975308642
100	400	0.5
100	800	0.5
100	1600	0.5
100	3200	0.5
400	100	0.5
400	400	0.5151643990929705
400	800	0.5
400	1600	0.5
400	3200	0.5
800	100	0.5
800	400	0.5476190476190477
800	800	0.5637119113573407
800	1600	0.5006578947368421
800	3200	0.5
1600	100	0.5
1600	400	0.5
1600	800	0.6405701754385965
1600	1600	0.7341666666666666
1600	3200	0.9166666666666666
3200	100	0.5
3200	400	0.5
3200	800	0.5070488721804511
3200	1600	0.9708333333333333
3200	3200	1.0
