"ngram_0","ngram_1","key","probability_key","ngram_weight"
1, 1, 0, 0.125, 0.0023781212841854932
1, 1, 1, 0.125, 0.0023781212841854932
1, 1, 2, 0.125, 0.0023781212841854932
1, 1, 3, 0.0625, 0.0023781212841854932
1, 1, 4, 0.0625, 0.0023781212841854932
1, 1, 5, 0.0625, 0.0023781212841854932
1, 1, 6, 0.0625, 0.0023781212841854932
1, 1, 7, 0.0625, 0.0023781212841854932
1, 1, 8, 0.0625, 0.0023781212841854932
1, 1, 9, 0.0625, 0.0023781212841854932
1, 1, 10, 0.125, 0.0023781212841854932
1, 1, 11, 0.0625, 0.0023781212841854932
12, 13, 6, 1.0, 1.4863258026159333E-4
15, 16, 14, 0.5, 2.9726516052318666E-4
15, 16, 16, 0.5, 2.9726516052318666E-4
16, 14, 11, 0.1111111111111111, 0.00133769322235434
16, 14, 17, 0.1111111111111111, 0.00133769322235434
16, 14, 16, 0.3333333333333333, 0.00133769322235434
16, 14, 18, 0.1111111111111111, 0.00133769322235434
16, 14, 8, 0.1111111111111111, 0.00133769322235434
16, 14, 19, 0.1111111111111111, 0.00133769322235434
16, 14, 1, 0.1111111111111111, 0.00133769322235434
14, 11, 20, 0.1, 0.0014863258026159335
14, 11, 21, 0.1, 0.0014863258026159335
14, 11, 22, 0.1, 0.0014863258026159335
14, 11, 18, 0.1, 0.0014863258026159335
14, 11, 7, 0.2, 0.0014863258026159335
14, 11, 10, 0.2, 0.0014863258026159335
14, 11, 1, 0.2, 0.0014863258026159335
11, 20, 23, 0.6666666666666666, 4.4589774078478004E-4
11, 20, 24, 0.3333333333333333, 4.4589774078478004E-4
26, 7, 25, 0.058823529411764705, 0.002526753864447087
26, 7, 27, 0.058823529411764705, 0.002526753864447087
26, 7, 10, 0.17647058823529413, 0.002526753864447087
26, 7, 28, 0.058823529411764705, 0.002526753864447087
26, 7, 29, 0.058823529411764705, 0.002526753864447087
26, 7, 30, 0.058823529411764705, 0.002526753864447087
26, 7, 6, 0.17647058823529413, 0.002526753864447087
26, 7, 21, 0.058823529411764705, 0.002526753864447087
26, 7, 11, 0.058823529411764705, 0.002526753864447087
26, 7, 31, 0.11764705882352941, 0.002526753864447087
26, 7, 5, 0.058823529411764705, 0.002526753864447087
26, 7, 15, 0.058823529411764705, 0.002526753864447087
7, 25, 3, 0.2, 7.431629013079667E-4
7, 25, 0, 0.2, 7.431629013079667E-4
7, 25, 32, 0.4, 7.431629013079667E-4
7, 25, 15, 0.2, 7.431629013079667E-4
25, 3, 28, 1.0, 1.4863258026159333E-4
3, 28, 33, 0.14285714285714285, 0.002080856123662307
3, 28, 7, 0.07142857142857142, 0.002080856123662307
3, 28, 32, 0.07142857142857142, 0.002080856123662307
3, 28, 16, 0.14285714285714285, 0.002080856123662307
3, 28, 17, 0.07142857142857142, 0.002080856123662307
3, 28, 13, 0.07142857142857142, 0.002080856123662307
3, 28, 6, 0.07142857142857142, 0.002080856123662307
3, 28, 27, 0.07142857142857142, 0.002080856123662307
3, 28, 0, 0.07142857142857142, 0.002080856123662307
3, 28, 34, 0.07142857142857142, 0.002080856123662307
3, 28, 22, 0.07142857142857142, 0.002080856123662307
3, 28, 3, 0.07142857142857142, 0.002080856123662307
28, 33, 7, 0.14285714285714285, 0.0010404280618311534
28, 33, 8, 0.14285714285714285, 0.0010404280618311534
28, 33, 35, 0.14285714285714285, 0.0010404280618311534
28, 33, 31, 0.42857142857142855, 0.0010404280618311534
28, 33, 36, 0.14285714285714285, 0.0010404280618311534
33, 7, 11, 0.2692307692307692, 0.0038644470868014267
33, 7, 0, 0.038461538461538464, 0.0038644470868014267
33, 7, 14, 0.038461538461538464, 0.0038644470868014267
33, 7, 8, 0.038461538461538464, 0.0038644470868014267
33, 7, 6, 0.07692307692307693, 0.0038644470868014267
33, 7, 28, 0.038461538461538464, 0.0038644470868014267
33, 7, 18, 0.038461538461538464, 0.0038644470868014267
33, 7, 3, 0.11538461538461539, 0.0038644470868014267
33, 7, 19, 0.07692307692307693, 0.0038644470868014267
33, 7, 9, 0.038461538461538464, 0.0038644470868014267
33, 7, 37, 0.038461538461538464, 0.0038644470868014267
33, 7, 38, 0.038461538461538464, 0.0038644470868014267
33, 7, 7, 0.038461538461538464, 0.0038644470868014267
33, 7, 24, 0.038461538461538464, 0.0038644470868014267
33, 7, 2, 0.038461538461538464, 0.0038644470868014267
33, 7, 31, 0.038461538461538464, 0.0038644470868014267
7, 11, 20, 0.0196078431372549, 0.00758026159334126
7, 11, 39, 0.0196078431372549, 0.00758026159334126
7, 11, 1, 0.0392156862745098, 0.00758026159334126
7, 11, 7, 0.058823529411764705, 0.00758026159334126
7, 11, 31, 0.058823529411764705, 0.00758026159334126
7, 11, 18, 0.0392156862745098, 0.00758026159334126
7, 11, 4, 0.0196078431372549, 0.00758026159334126
7, 11, 40, 0.0196078431372549, 0.00758026159334126
7, 11, 41, 0.058823529411764705, 0.00758026159334126
7, 11, 3, 0.0392156862745098, 0.00758026159334126
7, 11, 15, 0.0196078431372549, 0.00758026159334126
7, 11, 28, 0.0196078431372549, 0.00758026159334126
7, 11, 8, 0.058823529411764705, 0.00758026159334126
7, 11, 32, 0.0392156862745098, 0.00758026159334126
7, 11, 42, 0.0196078431372549, 0.00758026159334126
7, 11, 11, 0.0392156862745098, 0.00758026159334126
7, 11, 10, 0.0196078431372549, 0.00758026159334126
7, 11, 6, 0.058823529411764705, 0.00758026159334126
7, 11, 43, 0.0392156862745098, 0.00758026159334126
7, 11, 23, 0.0196078431372549, 0.00758026159334126
7, 11, 17, 0.0392156862745098, 0.00758026159334126
7, 11, 0, 0.0392156862745098, 0.00758026159334126
7, 11, 19, 0.0196078431372549, 0.00758026159334126
7, 11, 27, 0.0196078431372549, 0.00758026159334126
7, 11, 22, 0.0392156862745098, 0.00758026159334126
7, 11, 25, 0.0196078431372549, 0.00758026159334126
7, 11, 13, 0.0196078431372549, 0.00758026159334126
7, 11, 44, 0.0196078431372549, 0.00758026159334126
7, 11, 16, 0.0196078431372549, 0.00758026159334126
7, 11, 45, 0.0392156862745098, 0.00758026159334126
7, 11, 34, 0.0196078431372549, 0.00758026159334126
20, 23, 46, 1.0, 1.4863258026159333E-4
23, 46, 6, 1.0, 1.4863258026159333E-4
22, 20, 15, 1.0, 1.4863258026159333E-4
20, 15, 4, 1.0, 1.4863258026159333E-4
15, 4, 14, 1.0, 1.4863258026159333E-4
4, 14, 31, 0.1111111111111111, 0.00133769322235434
4, 14, 29, 0.1111111111111111, 0.00133769322235434
4, 14, 1, 0.2222222222222222, 0.00133769322235434
4, 14, 19, 0.2222222222222222, 0.00133769322235434
4, 14, 17, 0.1111111111111111, 0.00133769322235434
4, 14, 2, 0.1111111111111111, 0.00133769322235434
4, 14, 26, 0.1111111111111111, 0.00133769322235434
14, 31, 4, 0.07692307692307693, 0.0019322235434007134
14, 31, 1, 0.3076923076923077, 0.0019322235434007134
14, 31, 47, 0.23076923076923078, 0.0019322235434007134
14, 31, 22, 0.15384615384615385, 0.0019322235434007134
14, 31, 35, 0.07692307692307693, 0.0019322235434007134
14, 31, 16, 0.15384615384615385, 0.0019322235434007134
