base_model_size	auth_model_size	authentication_accuracy
10000	10000	0.9032258064516129
10000	6000	0.8611111111111112
10000	8000	0.9411764705882353
10000	4000	0.925
10000	2000	0.7857142857142857
6000	10000	0.8888888888888888
6000	6000	0.84
6000	8000	0.8604651162790697
6000	4000	0.896551724137931
6000	2000	0.765625
8000	10000	0.8823529411764706
8000	6000	0.8604651162790697
8000	8000	0.9
8000	4000	0.9375
8000	2000	0.7692307692307693
4000	10000	0.9
4000	6000	0.8620689655172413
4000	8000	0.875
4000	4000	0.76
4000	2000	0.7444444444444445
2000	10000	0.7857142857142857
2000	6000	0.765625
2000	8000	0.8076923076923077
2000	4000	0.7333333333333333
2000	2000	0.6617647058823529
